Timestamp,Current_Price,Predicted_Price
1682900320,29310.32,29266.548655049082
1682900327,29316.41,29272.629560385813
1682900333,29309.32,29265.550148425646
1682900339,29313.67,29269.893652237595
1682900345,29307.85,29264.082343689195
1682900351,29301.74,29257.981468219998
1682900358,29309.58,29265.809760147742
1682900364,29291.96,29248.216073442785
1682900370,29290.02,29246.27897059332
1682900377,29290.0,29246.25900046085
Timestamp,Current_Price,Predicted_Price
1682900592,29281.07,29275.511411827894
1682900599,29272.04,29266.483126042956
1682900606,29272.05,29266.4931241446
1682900612,29279.02,29273.461800990783
1682900618,29287.57,29282.010177896787
1682900625,29292.93,29287.369160378214
1682900631,29294.35,29288.788890811724
1682900637,29294.34,29288.77889271008
1682900644,29286.74,29281.1803354603
1682900650,29292.29,29286.72928187297
Timestamp,Current_Price,Predicted_Price
1682900852,29270.0,29274.111604222562
1682900858,29265.24,29269.35093557767
1682900864,29276.39,29280.502501836192
1682900870,29273.13,29277.242043898725
1682900876,29274.27,29278.382204036367
Timestamp,Current_Price,Predicted_Price
1682900977,29300.74,29297.148150476423
1682900984,29301.34,29297.748076925047
1682900992,29301.57,29297.97804873035
1682900998,29301.75,29298.15802666494
1682901006,29298.25,29289.674255067803
1682901012,29298.25,29289.674255067803
1682901018,29295.64,29287.065019027912
1682901025,29295.63,29287.055021954962
1682901031,29295.64,29287.065019027912
1682901037,29300.84,29292.263496961794
1682901043,29300.84,29292.263496961794
1682901049,29300.84,29292.263496961794
1682901055,29293.56,29284.98562785436
1682901061,29293.55,29284.97563078141
1682901067,29290.8,29282.226435720222
1682901074,29290.8,29282.226435720222
1682901080,29290.81,29282.236432793172
1682901086,29290.81,29282.236432793172
1682901092,29291.41,29282.83625717016
1682901099,29292.19,29283.61602886024
1682901106,29293.33,29284.755695176515
1682901114,29293.34,29284.765692249464
1682901120,29293.34,29284.765692249464
1682901127,29293.34,29284.765692249464
1682901133,29293.33,29284.755695176515
1682901140,29293.33,29296.306523382114
1682901146,29293.34,29296.316524398222
1682901152,29293.33,29296.306523382114
1682901159,29293.34,29296.316524398222
1682901165,29292.49,29295.466438028907
1682901173,29292.48,29295.733481532858
1682901179,29292.48,29295.733481532858
1682901186,29292.45,29295.703478200794
1682901193,29285.73,29288.982731818243
1682901199,29285.73,29288.982731818243
1682901206,29285.74,29283.17478658851
1682901212,29288.32,29285.754560599664
1682901220,29301.72,29299.153386859143
1682901227,29301.72,29299.153386859143
1682901233,29301.73,29299.163385983215
1682901239,29301.73,29299.23499327074
1682901246,29305.2,29302.704697804456
1682901252,29304.33,29301.8347718839
1682901258,29302.66,29300.164914082372
1682901264,29302.65,29300.15491493386
1682901270,29302.66,29300.35810672864
1682901276,29302.66,29300.35810672864
1682901283,29302.66,29300.35810672864
1682901290,29298.85,29296.548406026155
1682901296,29298.85,29296.548406026155
1682901304,29297.03,29342.14564151748
1682901310,29292.94,29338.04934316663
1682901316,29292.95,29338.05935856602
1682901322,29292.95,29338.05935856602
1682901328,29291.41,29336.516987059833
1682901335,29291.42,29276.69645673715
1682901341,29291.41,29276.686461763722
1682901347,29291.41,29276.686461763722
1682901354,29291.42,29276.69645673715
1682901360,29291.41,29276.686461763722
1682901366,29291.41,29299.304591254557
1682901373,29291.41,29299.304591254557
1682901379,29291.41,29299.304591254557
1682901385,29291.41,29299.304591254557
1682901392,29297.71,29305.606289224193
1682901400,29297.71,29310.64746246737
1682901407,29297.72,29310.657466883233
1682901414,29291.17,29304.104574494057
1682901420,29291.17,29304.104574494057
1682901427,29291.18,29304.11457890992
1682901434,29300.0,29310.714726615697
1682901440,29302.28,29312.995560389645
1682901447,29302.61,29313.325681067454
1682901454,29305.79,29316.5068439627
1682901461,29309.73,29320.44828478259
1682901467,29308.73,29312.961830695564
1682901474,29308.6,29312.831811925116
1682901480,29308.6,29312.831811925116
1682901486,29308.59,29312.821810481237
1682901493,29305.23,29309.46132533735
1682901500,29305.02,29298.896439165444
1682901506,29305.0,29298.876443344634
1682901513,29304.95,29298.826453792608
1682901519,29304.95,29298.826453792608
1682901525,29293.69,29287.568806676
1682901533,29293.7,29307.070063634976
1682901539,29293.69,29307.06005907083
1682901546,29293.7,29307.070063634976
1682901552,29293.7,29307.070063634976
1682901558,29293.7,29307.070063634976
1682901566,29293.7,29305.7347995608
1682901574,29295.52,29307.555547275675
1682901581,29299.25,29311.287079680333
1682901587,29299.25,29311.287079680333
1682901593,29299.24,29311.277075572012
1682901601,29306.3,29293.149071316664
1682901607,29306.3,29293.149071316664
1682901613,29306.3,29293.149071316664
1682901620,29306.3,29293.149071316664
1682901627,29300.75,29287.60156182738
1682901634,29300.76,29284.74481942023
1682901641,29300.76,29284.74481942023
1682901648,29300.76,29284.74481942023
1682901654,29300.75,29284.73482488602
1682901661,29300.75,29284.73482488602
1682901668,29300.76,29306.328435237992
1682901674,29295.51,29301.077437506705
1682901681,29295.26,29300.82738999569
1682901687,29295.26,29300.82738999569
1682901694,29298.21,29303.777950625656
1682901701,29298.21,29292.80314641646
1682901708,29298.21,29292.80314641646
1682901714,29290.0,29284.59466153523
1682901720,29289.99,29284.584663380687
1682901727,29289.99,29284.584663380687
1682901735,29289.99,29292.898869363496
1682901742,29289.99,29292.898869363496
1682901748,29290.0,29292.908870356623
1682901754,29290.0,29292.908870356623
1682901760,29290.0,29292.908870356623
1682901767,29286.7,29296.176723233122
1682901773,29294.83,29304.3093539754
1682901780,29291.64,29301.11832174073
1682901787,29281.22,29290.694949989866
1682901793,29280.31,29289.784655527936
1682901801,29286.12,29291.349006650726
1682901808,29286.13,29291.35900843622
1682901814,29286.13,29291.35900843622
1682901820,29289.68,29294.90964228507
1682901826,29289.99,29295.219697635253
1682901834,29290.0,29309.710519721266
1682901840,29300.13,29319.847336640516
1682901846,29300.13,29319.847336640516
1682901853,29297.44,29317.155526422073
1682901859,29297.44,29317.155526422073
1682901867,29301.77,29305.60383320995
