Open time,Open,High,Low,Close,Volume,Close time,EMA_9,EMA_21,RSI,BB_high,BB_mid,BB_low,ROC,Stoch_k,Stoch_d,Number of trades
1505754660000,3980.0,3980.0,3980.0,3980.0,0.110734,1505754960000,3964.18610819708,3962.414577188467,65.55931792909064,3979.3933850748326,3962.4770000000003,3945.560614925168,0.45355537439140114,77.14585119557977,63.173605157028966,0
1505754720000,3980.0,3980.0,3980.0,3980.0,0.005724,1505755020000,3967.348886557664,3964.0132519895155,65.55931792909064,3981.931692561652,3963.3765,3944.8213074383475,0.4533018344085482,93.34095455844545,77.14585119557975,0
1505754780000,3980.0,3980.0,3980.0,3980.0,0.0,1505755080000,3969.8791092461315,3965.4665927177416,65.55931792909064,3984.1745792457655,3964.2760000000003,3944.377420754235,0.5050505050504972,100.0,90.16226858467506,0
1505754840000,3950.35,3970.0,3950.35,3970.0,0.196685,1505755140000,3969.9032873969054,3965.878720652492,54.45857809394875,3984.6965124369376,3964.6755000000003,3944.654487563063,0.2525252525252597,91.22807017543859,94.85634157796132,0
1505754900000,3970.0,3970.0,3970.0,3970.0,0.0,1505755200000,3969.9226299175243,3966.2533824113566,54.45857809394875,3983.7088020678125,3964.326,3944.9431979321876,0.7102993404363378,82.45614035087719,91.22807017543857,0
1505754960000,3968.0,3968.0,3968.0,3968.0,0.016715,1505755260000,3969.5381039340195,3966.4121658285057,52.400543586397035,3983.5625358252096,3964.25,3944.9374641747904,0.583271440485289,71.9298245614035,81.87134502923975,0
1505755020000,3968.0,3968.0,3968.0,3968.0,0.0,1505755320000,3969.2304831472156,3966.556514389551,52.400543586397035,3983.89858562846,3964.5474999999997,3945.1964143715395,0.20202020202020332,70.17543859649123,74.85380116959062,0
1505755080000,3970.0,3970.3,3970.0,3970.03,1.155271,1505755380000,3969.3903865177726,3966.8722858086826,54.42785843560578,3984.396669977169,3964.9300000000003,3945.4633300228315,0.2535359937777759,70.20175438596509,70.76900584795327,0
1505755140000,3968.0,3978.79,3968.0,3978.69,1.592849,1505755440000,3971.2503092142188,3967.9466234624388,61.88570776835571,3985.680475039409,3965.3885,3945.096524960591,0.47222341470560814,79.48080748858747,73.28600015701458,0
1505755200000,3960.01,3960.01,3960.01,3960.01,0.073161,1505755500000,3969.0022473713752,3967.225112238581,44.8397612288759,3985.665620773063,3965.2885,3944.9113792269372,-0.25163727959697235,67.53382367154096,72.40546184869783,0
1505755260000,3960.01,3960.01,3960.01,3960.01,0.025929,1505755560000,3967.2037978971002,3966.5691929441646,44.8397612288759,3985.6480766047785,3965.1875,3944.7269233952215,-0.5022613065326587,53.80613810010829,66.94025642007888,0
1505755320000,3960.0,3960.0,3960.0,3960.0,0.002,1505755620000,3965.76303831768,3965.971993585604,44.832094461548984,3985.6279988499455,3965.0855,3944.543001150055,-0.5025125628140725,32.56885890950043,51.302940227049874,0
1505755380000,3950.0,3960.01,3950.0,3960.01,0.541599,1505755680000,3964.612430654144,3965.4299941687314,44.84225087122715,3985.6280041865443,3965.0860000000002,3944.543995813456,-0.5022613065326587,32.83104740490977,39.73534813817281,0
1505755440000,3950.0,3950.0,3932.0,3932.0,0.903008,1505755740000,3958.089944523316,3962.3909037897556,28.83133302219956,3988.743875728002,3963.686,3938.6281242719983,-0.9571788413098248,21.971013678096636,29.123639997502263,0
1505755500000,3930.0,3930.0,3928.33,3928.33,0.82979,1505755800000,3952.137955618653,3959.294457990687,27.448453503527816,3990.966428103898,3963.0025,3935.038571896102,-1.0496221662468552,11.122222222222481,21.974761101742946,0
1505755560000,3940.0,3950.0,3928.33,3950.0,0.722643,1505755860000,3951.7103644949225,3958.449507264261,44.404864823675794,3990.6510518285513,3963.2529999999997,3935.854948171448,-0.4536290322580627,13.979743242371503,15.690993047563525,0
1505755620000,3950.0,3950.0,3950.0,3950.0,0.0,1505755920000,3951.368291595938,3957.681370240237,44.404864823675794,3990.7291549180723,3962.7529999999997,3934.776845081927,-0.4536290322580627,28.294712194676993,17.79889255309031,0
1505755680000,3960.0,3960.0,3960.0,3960.0,0.492513,1505755980000,3953.0946332767508,3957.8921547638515,50.585740595632004,3990.729457731595,3962.7535000000003,3934.7775422684053,-0.25264292713154113,49.21557360305329,30.496676346700582,0
1505755740000,3960.0,3960.0,3960.0,3960.0,0.0,1505756040000,3954.4757066214006,3958.0837770580465,50.585740595632004,3990.7297605079825,3962.754,3934.7782394920173,-0.46975260701386246,56.15669176905811,44.55565918892946,0
1505755800000,3960.01,3960.01,3960.01,3960.01,0.1,1505756100000,3955.5825652971207,3958.2588882345876,50.5921111743761,3990.051085743576,3962.2545,3934.457914256424,0.0,62.76919011758514,56.04715182989884,0
1505755860000,3960.01,3960.01,3960.0,3960.0,2.762537,1505756160000,3956.4660522376967,3958.417171122352,50.58508799451602,3987.838069718907,3961.2545,3934.670930281093,-0.00025252461484104316,62.76919011758514,60.565024001409455,0
1505755920000,3950.0,3950.0,3950.0,3950.0,0.10751,1505756220000,3955.1728417901577,3957.651973747593,44.006238915490826,3985.3032803818496,3959.7545,3934.2057196181504,-0.2525252525252486,56.16329766151433,60.567225965561526,0
1505755980000,3950.0,3950.0,3950.0,3950.0,0.0,1505756280000,3954.1382734321264,3956.9563397705388,44.006238915490826,3982.3541717612497,3958.2545,3934.1548282387503,-0.25277713945167646,58.036756286607606,58.98974802190235,0
1505756040000,3960.0,3960.0,3960.0,3960.0,0.132073,1505756340000,3955.3106187457015,3957.2330361550353,51.34502214462855,3981.26645821279,3957.7545,3934.24254178721,0.7121057985757906,70.43870632604252,61.54625342472148,0
1505756100000,3935.02,3968.8,3935.02,3938.0,0.546765,1505756400000,3951.8484949965614,3955.4845783227593,39.179074207562884,3980.4573759409245,3956.1544999999996,3931.8516240590748,0.24616058223214665,64.08848492336229,64.18798251200413,0
1505756160000,3938.01,3950.0,3938.01,3950.0,0.226179,1505756460000,3951.478795997249,3954.9859802934175,46.61011795526968,3979.064207663052,3955.2545,3931.444792336948,0.0,59.13617113811677,64.55445412917385,0
